VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
Pressure to answer straight away.<br/>Loss of face to face contact.<br/>,12,Saving on paper.<br/>Quick means of contact particulary across sites.<br/>Ease of keeping a record of correspondence<br/>,1,2,1,2,2,30,15,15,2,98,1,Take care over wording to avoid misunderstanding,5,1, , ,99, , , , , ,6,7,8, , ,Poorly written - typos and bad grammar,6, ,8,7, ,5, ,7,5,4,7.1,5,9,9,5,5,8,9,9,8,8,2, , , ,Yes,1,0,Stop sending irrelevant email.,7,No,99,Honesty and trust.  Being valued,3, ,5,3,5,5,2,2,Language I use in referring to people/issues,6,1
Lack of reflection on finished product compared to more formal written comunication - can result in messages being sent that perhaps should have been more tempered or even not sent at all.<br/><br/>Overused when verbal communication would be better (can cause resentment by recipient - eg know of one manager who sat across the desk in an open plan office but who only communicated with colleagues by email).<br/><br/>Too many people copied into unnecessary messages (over two thirds of my inbox is effectively SPAM from outside or internal re-posting).,11,Speed of response (inmmediate receipt following dispatch). Can build into useful real-time dialogue when necessary to clarify points.<br/><br/>Cost (compared ot both phone call and postal mail).<br/><br/>Can attach and forward documents more easily than photocopying and sending on.<br/><br/>,6,3,1,5,2,120,25,35,2,50,1,Do they need this email is first consideration.  Is email most appropriate vehicle for communicationg this message is second.,4,2,20,respponding to emails circulated to tohers who each respond with same message.<br/><br/>Reading unnecessary messages as not clear in header what they are about.<br/><br/>Forwarding emails where sender has contacted wrong person in organisation.,2, ,2, , ,5,6,7,8,9, ,"Hastily composed without due onsideration: Colleague making knee-jerk reaction to issue that has arisen (usually another email), but whioch had they taken time to reflect they could have dealt with in a more appropriate and professional way.  Often the hastily composed emails are also offensive to third parties and time to reflect and compose more suitable response would have avoided this.",7,9.6,8.9, , ,7.7,8,9.9,7.2,8.1,9.3,9,10,7.9,6,7.2,6.6,10,6.1,6.4,10,2, , , ,"Yes - instantaneous, tracable and potentially formal (and free at point of delivery).  Also highely effective method of mass communications (eg all staff emails; event fliers etc)<br/><br/>In education email to students through their mobile phones/tablets will probably increase greatly over next few years to support commnication through social nbetworking sites.",3,5,Train users to think before pressing send button.  CHARGE bulk emailers to reduce SPAM emails.,2,"Not currently - provided effective use ois made of tools such as ""read receipt""; ""voting options"" ""message recall"" etc.",99,"One where there is trust between parties so that misunderstandings can be avoided and if they arise can be sprted quiickly and effectively wiohtout damaging the relationship.  In order to generate this trust, both parties must be open (in so far as other considerations allow) and accepting of the skills and limitations in the other party.",3, ,5,1,55,5,1,1,No forwarding of inappropriate emails; careful consideration of legal and employment aspects of all emails before sending; no use of College email for personal activity.,8,1
They are too easy to send so too many get sent to too many people,1,Speed,1,1,3,3,2,1,5,10,2,98,1,Do they really need it?,1,2,50,Working through and deleting emails that have no relevance or interest to me.,2, , , , , ,6, ,8, , ,There are loads everyday that seem to be sent to every staff member rather than targeting the ones for whom it would be relevant,8,8,8,6.7,6.4,7.4,3.4,6.2,2.2,2.6,8.6,8.6,7.8,5.5,4.4,4.3,3.1,7.7,3.3,3.7,8,2, ,2, ,How should I know,5,0,Perhaps,0,Don't know,99,"Open, honest, professional",2, ,5,4,6, ,2,4, ,99,0
When the college nework fails and I am unable to receive or send e mails. <br/>sometime my mail box is not of a sufficient capacity to allow me to archive all the messages I need to keep.,8,"Quick and easy method of communicating with people inside and outside of college.<br/>I use college e mail extensively to communicate with students, relating to course issues, student and staff absence (if appropriate), support and guidance with study/assignment support etc.",1,3,1,3,2,60, , ,2,50,1, ,99,2,15,opening e mails which are sent to all staff which are irrelevant to me.,2, , , , , ,6, ,8,9, ,Information about A level exams - I teach HE only so this information is not relevant to me.,8,9, ,9,9,9, ,9,9,10,9,10,1.2,10,5,5,5,10,5,10,10,2, , , ,yes,1,0,Better training for those who lack experience of using e mail.<br/>Have less irrelevant e mails sent,2,"Improve quality of computers provided to staff, to ensure faster speed with college systems.<br/><br/>Less nerwork failures.<br/><br/>Better access to technicians where things go wrong.<br/><br/>Bigger mail box size for staff to enable the storage of importnat e mails.",3,"effective, polit, and respectful communication,<br/>sharing of good practice",2, ,5,4,88,5,2,1,I aim to use e mails within the rules of College and avoid inappropriate use of college e amils.,6,1
It takes time to check emails.<br/>It takes time to write emails.<br/>You sometimes have more emails than is possible for you to respond to in an average working day.<br/>Emails can sometimes seem aggressive. <br/>Emails add to your 'to do' list as they can build up. <br/>Emails with deadlines are sent out regularly.  <br/>Emails are sometimes lengthy with many different parts to take on board and understand- taking time. <br/>Communicating face to face is sometimes more effective for example an email with instructions on how to do something may not always be as effective as sharing good practice in a quick meeting. <br/>,1,It is professional.<br/>It can collate all attachments and information needed in one email. <br/>It can be quick. <br/>It can be good to clarify what has been discussed into words in an email i.e. minutes of a meeting.,5,1,1,1,2,180,3,3,1,1,1,"I consider the formality, tone and the reason I am emailing.",5,2,10,Receiving the same email from different people saying the same thing but 'just how iomportant' it is. Receiving emails where common sense could be used instead i.e. 'please put posters on walls and not anywhere else' etc.,2,1,2, , ,5,6,7,8,9, ,You regularly receive emails with tight deadlines and with an aggressive tone. CCing people into email i.e. managers is sometimes something you don't know wether you should do or not.,2,8.8,8.4,8.7,5.4,5.6,8.3,9.1,8.2,9.8,9.5,7.8,7.7,8.1,7.9,9.1,8,7.9,8.5,8.1,8.3,2, , , ,Yes- workloads will be increased as we will be spending time responding and dealing with what wer have been sent via email.,3,4,"More meetings and training to discuss important changes and developments as not everyone responds well to reading reams of information. <br/><br/>Less emails and more meetings to discuss concearns and developments. <br/><br/>Less email jargon i.e. COP today etc. <br/><br/>More access to PCs. Outreach workers are penalised for not having read emails when they are prepping, teaching a lesson where there is no PC access. <br/><br/>Email time allowed in your contract of employment. Part time teachers have the same amount of emails but no extra time to deal with them. Also, only a few years ago there were far less emails to respond to uyet we have not been given extra time to respond to them.<br/><br/>Finally, more concientious staff may take on board the emails with the deadlines etc. and have to explain this to other staff who have not read their emails yet. Again, showing non effective communication throughout the whole college.",2,No. You are sometimes asked to do thinhgs that you are not sure of and don't know who uto ask.,99,Being able to comfortablysspeak to your colleagues.,2, ,5,4,21,2,2,3,You know that you have to be professional and polite at all times and ensure that you do not send configdential information via an email.,7,1
-The risk of misunderstanding<br/>-Not knowing when the message will be read<br/>,11,-Having a record of conversations in writing<br/>-Being able to pass on information even when the recipient is not around at that time to speak to<br/>-You can be more concise,2,4,3,3,1,90,25,25,1,1,1,"I always try to re-read my emails before sending to check incase they could be misinterpreted, and also consider the work load involved for the recipient",5,2,15,"When several emails are passed back and fore trying to establish what someone actually meant, or because the first email didn't contain all of the information required.",5, ,2, , ,5,6,7,8,9, ,Agressive tone - it can be too easy to fire off an email in anger.,2,10,9,10,8.5,9,7.5,9,7.5,10,7,8,10,10,10,8,7.5,7.5,7,10,7.5,2, , , ,Yes,1,0,Don't know,99,No,99,"A good working relationship is one that achieves the greatest output with the greatest happiness and satisfaction. In an email context, someone who you can trust to not misinterpret the tone of your email and that will respond appropriately.",3, ,5,3,2,3,2, ,"I am aware that my emails may be accessible via the servers, and that you have to be careful with personal comments about the college or colleagues.",2,1
Being copied into mail that I really dont need to know about.,1,Quick flow of information,1,3,3,4,1,90,20,20,2,50,1,I ask if I need to send it - should I call (and often send an email when a call fails),4,2,30,Getting dragged into things that sort themselves out,2, , , , ,5, ,7,8, , ,Email refereing to something in the body that the sender recieved but didnt read before sending it on.,7,8,2,9,3,1.6,7.2,6.7,6.3,10,8,6,8.9,9.3,7.7,7.4,8.9,8.5,8.4,10,9.2,2, , , ,Yes,1,0,?,0,No,99,Email is effective once you have established a good relationship.,2, ,5,1,55,5,1,2,None because I naturally adhere to the policy,99,0
Emotions don't come across so you could write one thing and someone could read it differently if they are in a bad mood.,9,Puts conversations in black and white and saves time.,2,2,1,5,2,100,50,50,2,50,1, ,99,2, , ,99, , , , , ,6,7,8, , ,Poor grammar and spelling,6,6.5,6.5,10,10,9,10,10,10,10,10,7.4,8.2,8.8,9.8,9.6,9,10,6.9,10,9.5,2, , , ,Yes,1,0, ,0, ,99, ,99, ,5,3,99,2,2,2, ,99,0
It requires little effort of thought,11,None,99,1,1,9,2,31,10,10,1,50,1, ,99,2,21,CC CCC etc,2, , , , , ,6,7,8,9, ,No consideration,8,5.4,5.8,5.1,6,5.3,5.6,5.2,4.9,5,4.9,5.8,5.5,5.3,6.1,5.6,5.9,6,5.7,5.9,6,2, ,2, ,Yes,1,0,"Time out people, so they only have 30 minutes a day on e mail",6,They are not,99,None,99, ,9,1,55,5,1,1,"Thinking, before sending",6,1
Lack of personal contact<br/>Misconstrued message<br/>,11,Speed<br/>Reliability,1,2,1,3,2,60,15,15,2,50,1,Content/Language,5,2,15,Spam<br/>CC into unrelevant information,1,1, , , , ,6, ,8,9, ,FYI CC emails which are the bane of my life,8,6.9,10,5.5,8.9,7.2,6.7,8.4,6.6,9,7.5,6.7,8.9,8.4,9.5,5.2,8.1,8.1,7.1,6.5,6.6,2, , , ,Yes,1,0,Consideration,1,Limitation on file attachement size,6,Respect<br/>Communication<br/>Empathy<br/>,6, ,5,2,55,3,1,2, ,99,0
the recipient not reading them.<br/>,6,"Written confirmation of what is required, more complete instructions that can be referred to when needed.",2,1,1,3,2,2, , ,2,50,1, ,99,1, , ,99, , , , ,5,6,7,8,9, ,A badly written e-mailsimply makes more e-mails neccesary to clarify the message.,6, ,10,7,5,8.5,5.3,10,9.5,10,10, ,10,10,10,10,3.5,10,5.8,10,10,2, , , ,yes definately. at least there is some assurance the intended recipient will recieve the information.,3,6,"Think before writing, ask oneself if all the relevent information has been included and is it clearly written.",7,No explaination of why they are sometimes not delivered.,5,respect and consideration.,6, ,5,3,99,5,2,2,none.,99,0
Time consuming and replaces talking to people,1,speed of transfer of messages<br/><br/>can reach people in unaccessible places,1,1,1,1,2,15,5,5,2,50,1, ,99,2,7,Opening and reading emails that are then duplicated in terms of their content from different sources. Replies are sometimes sent prior to other emails being opened therefore information might be incomplete.,2, ,2, , , , ,7, ,9, ,"When people are stressed and the content is complex, people might want to unload their feelings on others - not v.good",2,3.4,7,5,3.6,1.8,2.4,2.5,5.7,8,3.7,4.8,7.7,7.1,7.3,4.3,7.3,4.6,4.5,4.1,5.1,2, ,2,1,yes,1,0,imponderable,0,ability to type,7,maintaining and developing a working  rapport -  trying to balance the complexities of working in a complicated working environment,4, ,5,4,88,6,1,3,Focusing on professional issues and keeping person ones out of the frame,4,1
if you don't check your emails everyday you don't always recieve the message in time,1,can access them anywhere where there is internet access,4,1,1,2,2,30,10,10,2,50,1,do they understand the email,5,2,15,deleting emails that are not relevant to my work,2, , , , ,5, ,7,8, , ,emails being sent to all departments when they are only relevant to a few,8, ,10,10,5.5,5,6,5.1,10,10,10,5.7,10,10,10,10,10,10,10,10,10,2, , , ,yes,1,0,no junk email allowed in work,4,no,99,good communication and standardisation through out,2, ,5,4,88,3,2,1,reminds me to maintain professionalism,8,1
1,11,Can reach a large audience in a relatively short space of time. <br/>Standardisation of the message. <br/>Quicker than a letter. <br/>,1,2,1,9,2,180,5,20,1,2,1,How message may be perceived,5,2,51,Reading emails that did not directly affect me.<br/>Reading repeat emauils from people when I haven't responses instantaneously.,2,1,2, , ,5,6,7,8,9, ,I think all of the above issues are equally important,10,10,9.9,10,9.2,7.1,10,10,10,10,10,10,10,10,10,10,10,10,9.8,10,10,2, , , ,Yes,1,0,Readers should access email at certian points during the day eg morning midday and end of day. <br/><br/>Senders should consider some other form of communication if they require an immediate response,1, ,99, ,99, ,5,3,6,4,2,1,Employee Standards and Code of Conduct<br/>Data protectioj Policy,6,1
An email can often be misinterpreted as we tend to be less formal when when using it.  The protocaols of formal letter writing is not always observed.,11,"It's fast, efficient and friendly - and is less costly than traditional mail",1,2,1,4,2,20,10,20,2,50,2, ,99,2,10,I receieve lots of junk mail and unsolicited mail and duplicate/triplicate copies of the same email but from different peopple,2, ,2,3, ,5,6,7,8,9, ,Multiple copies of same email - total waste of my time,9,2.6,7.9,2.7,8.3, ,2.1,3.2,3.8,6.7,5.5,7,7.5,6.4,6,4.9,3,7.2,4.9, ,5.5,2, , , ,Yes,1,0,Learn to use grammar effectively,7, ,99,Supportive and collaborative,6, ,5,4,15,4,2,1,I don not send anything internally or externally that could be deemed as 'inappropraite',6,1
